ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,Price,Yearly_sales,Rating,Genre,Language
133502813,Chemistry,John McMurry,1994,Prentice Hall,http://images.amazon.com/images/P/0133502813.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0133502813.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0133502813.01.LZZZZZZZ.jpg,$295.44,39584,1,Comedy,Kannada
716724022,Physical Chemistry,P. W. Atkins,1994,W.H. Freeman &amp; Company,http://images.amazon.com/images/P/0716724022.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0716724022.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0716724022.01.LZZZZZZZ.jpg,$236.94,40862,9,Drama,Lithuanian
525462325,Pooh (Giant Board Book),A. A. Milne,1999,Dutton Books,http://images.amazon.com/images/P/0525462325.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0525462325.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0525462325.01.LZZZZZZZ.jpg,$393.28,43857,7,Crime,Burmese
60256664,The Giving Tree,Shel Silverstein,1964,HarperCollins,http://images.amazon.com/images/P/0060256664.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060256664.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060256664.01.LZZZZZZZ.jpg,$382.74,44661,2,Drama,Belarusian
794505007,Dream Pony (Sandy Lane Stables),Susannah Leigh,2003,Educational Development Corporation,http://images.amazon.com/images/P/0794505007.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0794505007.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0794505007.01.LZZZZZZZ.jpg,$113.03,51927,1,Drama,Nepali
786889020,Don't Stand Too Close to a Naked Man,Tim Allen,1995,Hyperion,http://images.amazon.com/images/P/0786889020.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786889020.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786889020.01.LZZZZZZZ.jpg,$348.05,21415,7,Comedy,French
786861320,The Wall Street Journal Lifetime Guide to Money : Strategies for Managing Your Finances,Staff of the Wall St Journal,1997,Hyperion,http://images.amazon.com/images/P/0786861320.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786861320.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786861320.01.LZZZZZZZ.jpg,$414.17,57318,3,Comedy,Nepali
688149790,Babyhood,Paul Reiser,1997,William Morrow &amp; Company,http://images.amazon.com/images/P/0688149790.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0688149790.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0688149790.01.LZZZZZZZ.jpg,$49.32,53527,10,Drama,Northern Sotho
671519751,Thirty Five Thousand Plus Baby Names: The Largest Selection of Popular and Unusual Names from Around the World,Bruce Lansky,1995,Meadowbrook,http://images.amazon.com/images/P/0671519751.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671519751.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671519751.01.LZZZZZZZ.jpg,$359.58,26330,5,Comedy,Swedish
399505962,Indoor Cat,Patricia Curtis,1981,Perigee Books,http://images.amazon.com/images/P/0399505962.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399505962.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399505962.01.LZZZZZZZ.jpg,$288.86,97310,3,Comedy,Nepali
156305700X,Really Important Stuff: My Kids Have Taught Me,Cynthia Copeland Lewis,1994,Workman Publishing,http://images.amazon.com/images/P/156305700X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/156305700X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/156305700X.01.LZZZZZZZ.jpg,$283.79,3390,5,Drama,Bengali
889652066,Making Your Home a Haven: Strategies for the Domestically Challenged,Cyndy Salzmann,2001,Horizon,http://images.amazon.com/images/P/0889652066.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0889652066.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0889652066.01.LZZZZZZZ.jpg,$71.95,45966,10,Adventure,Icelandic
140386645,The Westing Game (Now in Speak!),Ellen Raskin,1997,Penguin Putnam Books for Young Readers,http://images.amazon.com/images/P/0140386645.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140386645.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140386645.01.LZZZZZZZ.jpg,$430.53,17851,4,Action,Tok Pisin
345337662,Interview with the Vampire,Anne Rice,1993,Ballantine Books,http://images.amazon.com/images/P/0345337662.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345337662.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345337662.01.LZZZZZZZ.jpg,$369.87,30761,7,Comedy,Icelandic
345351525,The Queen of the Damned (Vampire Chronicles (Paperback)),Anne Rice,1993,Ballantine Books,http://images.amazon.com/images/P/0345351525.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345351525.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345351525.01.LZZZZZZZ.jpg,$367.13,70445,1,Comedy,Latvian
553205587,Lord God Made Them All,James Herriot,1982,Bantam Doubleday Dell,http://images.amazon.com/images/P/0553205587.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553205587.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553205587.01.LZZZZZZZ.jpg,$202.20,28672,1,Horror,Gujarati
449003787,"\O\"" Is for Outlaw""",SUE GRAFTON,2001,Ballantine Books,http://images.amazon.com/images/P/0449003787.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449003787.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449003787.01.LZZZZZZZ.jpg,$191.48,24591,3,Drama,Gagauz
867202076,Organic Chemistry,Marye Anne Fox,1994,Jones &amp; Bartlett Pub,http://images.amazon.com/images/P/0867202076.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0867202076.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0867202076.01.LZZZZZZZ.jpg,$486.02,45596,8,Documentary,Hebrew
716723980,Inorganic Chemistry,D.F. Shriver,1994,W H Freeman &amp; Co,http://images.amazon.com/images/P/0716723980.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0716723980.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0716723980.01.LZZZZZZZ.jpg,$51.09,92993,10,Comedy,Ndebele
765347539,Kushiel's Avatar (Kushiel's Legacy),Jacqueline Carey,2004,Tor Fantasy,http://images.amazon.com/images/P/0765347539.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0765347539.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0765347539.01.LZZZZZZZ.jpg,$134.08,75899,2,Comedy,Icelandic
471485527,Essentials of Computational Chemistry : Theories and Models,Christopher J.  Cramer,2002,John Wiley &amp; Sons,http://images.amazon.com/images/P/0471485527.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0471485527.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0471485527.01.LZZZZZZZ.jpg,$200.58,65187,10,Comedy,Kannada
765345048,Kushiel's Chosen (Kushiel's Legacy),Jacqueline Carey,2003,Tor Fantasy,http://images.amazon.com/images/P/0765345048.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0765345048.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0765345048.01.LZZZZZZZ.jpg,$117.19,53028,7,Romance,Thai
385265700,The Book of Ruth (Oprah's Book Club (Paperback)),Jane Hamilton,1990,Anchor,http://images.amazon.com/images/P/0385265700.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385265700.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385265700.01.LZZZZZZZ.jpg,$251.57,62512,9,Sci-Fi,Afrikaans
156935805,Virginia Woolf: A Biography,Quentin Bell,1974,Harvest Books,http://images.amazon.com/images/P/0156935805.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0156935805.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0156935805.01.LZZZZZZZ.jpg,$426.76,20485,4,Comedy,Chinese
713442549,Karpov-Korchnoi: Massacre in Merano (A Batsford chess book),Raymond D Keene,1981,B.T. Batsford,http://images.amazon.com/images/P/0713442549.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0713442549.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0713442549.01.LZZZZZZZ.jpg,$320.56,46060,5,Crime,Kyrgyz
094547069X,New Developments in Latvian Gambit,Kon Grivainis,1998,Chess Enterprises,http://images.amazon.com/images/P/094547069X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/094547069X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/094547069X.01.LZZZZZZZ.jpg,$404.09,87603,7,Drama,German
486293556,Epic Battles of the Chessboard,R. N. Coles,1996,Dover Publications,http://images.amazon.com/images/P/0486293556.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0486293556.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0486293556.01.LZZZZZZZ.jpg,$102.46,95623,5,Documentary,Czech
20083513,BATTLE OF THE TITANS,Carolyn Keene,1991,Scribner Paper Fiction,http://images.amazon.com/images/P/0020083513.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0020083513.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0020083513.01.LZZZZZZZ.jpg,$427.09,51983,10,Comedy,Zulu
452281296,In the Cut,Susanna Moore,1999,Plume Books,http://images.amazon.com/images/P/0452281296.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452281296.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452281296.01.LZZZZZZZ.jpg,$350.07,95196,5,Action,Maltese
1573229326,How to Be Good,Nick Hornby,2002,Riverhead Books,http://images.amazon.com/images/P/1573229326.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1573229326.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1573229326.01.LZZZZZZZ.jpg,$266.44,43710,9,Drama,West Frisian
038072930X,Turbulent Souls: : A Catholic Son's Return To His Jewish Family,Stephen J. Dubner,1999,Perennial,http://images.amazon.com/images/P/038072930X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038072930X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/038072930X.01.LZZZZZZZ.jpg,$148.64,20549,5,Comedy,Mongolian
068483376X,Succulent Wild Woman,Sark,1997,Fireside,http://images.amazon.com/images/P/068483376X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/068483376X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/068483376X.01.LZZZZZZZ.jpg,$242.93,7109,6,Comedy,Amharic
068484270X,The HEALING OF AMERICA,Marianne Williamson,1997,Simon &amp; Schuster,http://images.amazon.com/images/P/068484270X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/068484270X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/068484270X.01.LZZZZZZZ.jpg,$119.91,42627,8,Action,Luxembourgish
671672576,LAST TEMPTATION OF CHRIST (Movie Tie in),Nikos Kazantzakis,1988,Touchstone,http://images.amazon.com/images/P/0671672576.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671672576.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671672576.01.LZZZZZZZ.jpg,$408.26,47409,1,Drama,Somali
679743243,The Informers,BRET EASTON ELLIS,1995,Vintage,http://images.amazon.com/images/P/0679743243.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679743243.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679743243.01.LZZZZZZZ.jpg,$206.72,62472,4,Comedy,Albanian
151003394,Africans in America: AMERICAN (AMERI)ca's Journey through Slavery,Charles Johnson,1998,Harcourt,http://images.amazon.com/images/P/0151003394.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0151003394.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0151003394.01.LZZZZZZZ.jpg,$162.71,55906,1,Adventure,Northern Sotho
385424736,The Rainmaker,John Grisham,1995,Doubleday Books,http://images.amazon.com/images/P/0385424736.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385424736.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385424736.01.LZZZZZZZ.jpg,$294.74,83309,5,Horror,Dari
60923717,Love in Black and White: The Triumph of Love over Prejudice and Taboo,Mark Mathabane,1993,HarperCollins,http://images.amazon.com/images/P/0060923717.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060923717.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060923717.01.LZZZZZZZ.jpg,$326.20,27478,9,Documentary,English
671617028,The Color Purple,Alice Walker,1985,Pocket Books,http://images.amazon.com/images/P/0671617028.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671617028.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671617028.01.LZZZZZZZ.jpg,$169.87,63217,9,Comedy,Hebrew
440224772,Mirror Image,Danielle Steel,1999,Dell Publishing Company,http://images.amazon.com/images/P/0440224772.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440224772.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440224772.01.LZZZZZZZ.jpg,$384.40,6206,6,Drama,Chinese
345406036,The Shelter of Each Other: Rebuilding Our Families,Mary Bray Pipher,1997,Ballantine Books,http://images.amazon.com/images/P/0345406036.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345406036.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345406036.01.LZZZZZZZ.jpg,$193.24,56819,6,Drama,Belarusian
871132389,Story of My Life: A Novel,Jay McInerney,1988,Pub Group West,http://images.amazon.com/images/P/0871132389.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0871132389.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0871132389.01.LZZZZZZZ.jpg,$482.63,38125,5,Documentary,Sotho
345421825,The First Immortal,James L. Halperin,1998,Del Rey Books,http://images.amazon.com/images/P/0345421825.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345421825.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345421825.01.LZZZZZZZ.jpg,$471.82,66061,4,Crime,French
61057983,Diaspora,Greg Egan,1999,Eos,http://images.amazon.com/images/P/0061057983.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061057983.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061057983.01.LZZZZZZZ.jpg,$441.32,30244,3,Crime,Portuguese
8817844330,Confucio nel computer: Memoria accidentale del futuro,Furio Colombo,1995,Nuova Eri Rizzoli,http://images.amazon.com/images/P/8817844330.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/8817844330.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/8817844330.01.LZZZZZZZ.jpg,$344.37,90447,3,Drama,Kannada
373245513,And Babies Make Four  (Manhattan Multiples),Marie Ferrarella,2003,Silhouette,http://images.amazon.com/images/P/0373245513.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373245513.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373245513.01.LZZZZZZZ.jpg,$393.77,84866,8,Drama,Kashmiri
525440631,Monster Movers,George Ancona,1983,Penguin USA,http://images.amazon.com/images/P/0525440631.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0525440631.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0525440631.01.LZZZZZZZ.jpg,$161.38,23934,1,Documentary,Malayalam
373196504,The Tycoon's Double Trouble  (Daycare Dads),Susan Meier,2003,Silhouette,http://images.amazon.com/images/P/0373196504.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373196504.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373196504.01.LZZZZZZZ.jpg,$328.56,64725,4,Drama,Dzongkha
425130312,Legacy of Evil,Anna Clarke,1991,Berkley Pub Group,http://images.amazon.com/images/P/0425130312.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425130312.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425130312.01.LZZZZZZZ.jpg,$280.16,92361,3,Drama,West Frisian
375433465,The Firm (Random House Large Print),JOHN GRISHAM,2004,Random House Large Print,http://images.amazon.com/images/P/0375433465.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375433465.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375433465.01.LZZZZZZZ.jpg,$60.60,48654,2,Comedy,Polish
380752123,Each Time We Love,Shirlee Busbee,1993,Harper Mass Market Paperbacks,http://images.amazon.com/images/P/0380752123.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380752123.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380752123.01.LZZZZZZZ.jpg,$86.15,25761,7,Drama,Dhivehi
067170463X,Murder on the Orient Express,Agatha Christie,1978,Pocket Books,http://images.amazon.com/images/P/067170463X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067170463X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067170463X.01.LZZZZZZZ.jpg,$38.45,66360,1,Comedy,Burmese
671543180,DEAD MANS FOLLY (Hercule Poirot Mysteries (Paperback)),Agatha Christie,1984,Pocket,http://images.amazon.com/images/P/0671543180.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671543180.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671543180.01.LZZZZZZZ.jpg,$213.40,19652,9,Drama,Armenian
067170091X,Endless Night,Agatha Christie,1990,Pocket Books,http://images.amazon.com/images/P/067170091X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067170091X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067170091X.01.LZZZZZZZ.jpg,$212.72,71600,1,Animation,Italian
671705997,Easy to Kill,Agatha Christie,1991,Pocket Books,http://images.amazon.com/images/P/0671705997.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671705997.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671705997.01.LZZZZZZZ.jpg,$357.73,31366,3,Drama,Assamese
671704664,And Then There Were None,Agatha Christie,1989,Pocket Books,http://images.amazon.com/images/P/0671704664.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671704664.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671704664.01.LZZZZZZZ.jpg,$316.68,87432,6,Action,Macedonian
373805217,A Careful Wife,Lindsay Armstrong,2002,Harlequin,http://images.amazon.com/images/P/0373805217.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373805217.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373805217.01.LZZZZZZZ.jpg,$150.35,18024,2,Comedy,Hebrew
671696513,ABC MURDERS,Agatha Christie,1989,Pocket,http://images.amazon.com/images/P/0671696513.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671696513.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671696513.01.LZZZZZZZ.jpg,$485.99,75600,9,Comedy,Hindi
373123086,The Blind - Date Bride  (The Australians),Emma Darcy,2003,Harlequin,http://images.amazon.com/images/P/0373123086.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373123086.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373123086.01.LZZZZZZZ.jpg,$409.55,65273,6,Crime,English
140390839,The Adventures of Tom Sawyer,Mark Twain,1987,Penguin Books,http://images.amazon.com/images/P/0140390839.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140390839.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140390839.01.LZZZZZZZ.jpg,$433.37,90604,2,Action,Greek
373123523,The Parisian Playboy   In Love With Her Boss,Helen Brooks,2003,Harlequin,http://images.amazon.com/images/P/0373123523.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373123523.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373123523.01.LZZZZZZZ.jpg,$322.52,95980,7,Drama,Lao
821758179,Faery Magic,Mary Jo Putney,1998,Zebra Books,http://images.amazon.com/images/P/0821758179.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0821758179.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0821758179.01.LZZZZZZZ.jpg,$112.89,10174,7,Action,Estonian
380896931,Tender Is the Storm,Johanna Lindsey,1985,Avon,http://images.amazon.com/images/P/0380896931.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380896931.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380896931.01.LZZZZZZZ.jpg,$376.42,42842,4,Comedy,Nepali
971942315,The Greatest Discovery,Chris Sorensen,2003,Pond Publishing,http://images.amazon.com/images/P/0971942315.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0971942315.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0971942315.01.LZZZZZZZ.jpg,$494.89,4354,8,Horror,Croatian
3455059554,Der Fisch lernt fliegen. Unterwegs durch die Jahre.,Erika Pluhar,2000,Hoffmann &amp; Campe,http://images.amazon.com/images/P/3455059554.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3455059554.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3455059554.01.LZZZZZZZ.jpg,$426.15,26667,7,Crime,Latvian
553275860,Narcissus and Goldmund,Hermann Hesse,1984,Bantam Books,http://images.amazon.com/images/P/0553275860.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553275860.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553275860.01.LZZZZZZZ.jpg,$91.81,25374,7,Drama,Norwegian
